wav_path,claimed_id,genuine,codec,bitrate_kbps,distance,latency_ms
voxceleb1\wav\id10400\QS6RrYT7KKM\00003.wav,id10400,True,mp3,32,0.4773130765354927,1483.174599998165
voxceleb1\wav\id10912\2yUgv3B_YcI\00011.wav,id10912,True,mp3,32,0.3029445637658369,1364.4887000045856
voxceleb1\wav\id10875\ZOsjLV0XXlQ\00005.wav,id10875,True,mp3,32,0.36338896728504255,1212.7671000052942
voxceleb1\wav\id11142\Gicu1gUl6iw\00008.wav,id11142,True,mp3,32,0.4215744055025713,1134.9742000020342
voxceleb1\wav\id10736\8hMkhwBzaJY\00011.wav,id10736,True,mp3,32,0.3630767835477021,1205.566099997668
voxceleb1\wav\id10824\EPj8oj_wjI4\00005.wav,id10824,True,mp3,32,0.33949347373048755,1426.4897999964887
voxceleb1\wav\id10786\BP8Lsp8p8iY\00010.wav,id10786,True,mp3,32,0.5258504707455907,1273.8326000035158
voxceleb1\wav\id10994\5GLhL4Km-_0\00007.wav,id10994,True,mp3,32,0.4358310219725531,1938.6353000008967
voxceleb1\wav\id10736\FiuNwOmESq8\00001.wav,id10736,True,mp3,32,0.44739742368246727,1539.962300004845
voxceleb1\wav\id10875\bDzNAlq_PXY\00002.wav,id10875,True,mp3,32,0.3589820483534282,1079.5119999966118
voxceleb1\wav\id10862\2bn9i9re2yI\00017.wav,id10862,True,mp3,32,0.32358398697895197,1265.0099000020418
voxceleb1\wav\id10862\2bn9i9re2yI\00028.wav,id10862,True,mp3,32,0.43112364542119685,1052.9658000014024
voxceleb1\wav\id10456\L6TBYanT-fQ\00004.wav,id10456,True,mp3,32,0.42386941322209604,1037.0836000001873
voxceleb1\wav\id10745\5EPvrY18MoQ\00007.wav,id10745,True,mp3,32,0.22966362936031148,1202.4193999968702
voxceleb1\wav\id10994\5GLhL4Km-_0\00014.wav,id10994,True,mp3,32,0.39378599344181875,1399.04089999618
voxceleb1\wav\id10912\2yUgv3B_YcI\00018.wav,id10912,True,mp3,32,0.28706892699183073,1376.2053999962518
voxceleb1\wav\id11059\NvZ7wAj3STs\00001.wav,id11059,True,mp3,32,0.3849024303124394,1649.0609000029508
voxceleb1\wav\id10912\2yUgv3B_YcI\00013.wav,id10912,True,mp3,32,0.3014494650645042,1613.050400002976
voxceleb1\wav\id10508\OZxQo0H6O28\00007.wav,id10508,True,mp3,32,0.5687881365867281,1275.7462000008672
voxceleb1\wav\id10400\QS6RrYT7KKM\00006.wav,id10400,True,mp3,32,0.45201326539887665,1066.8733999991673
voxceleb1\wav\id11048\P8-Fq-2Atiw\00007.wav,id11048,True,mp3,32,0.39837854532762973,1204.3695999964257
voxceleb1\wav\id11009\77WS8eN5h3s\00009.wav,id11009,True,mp3,32,0.2876829551560971,1478.26399999758
voxceleb1\wav\id10946\NdrTWoGwC7k\00002.wav,id10946,True,mp3,32,0.5623108394430836,1534.6713999970234
voxceleb1\wav\id10508\8t97-YsuqpM\00012.wav,id10508,True,mp3,32,0.3571117342483586,1321.5101999958279
voxceleb1\wav\id11059\89FrzqI2x0A\00005.wav,id11059,True,mp3,32,0.41953238967735984,1279.628500000399
voxceleb1\wav\id10736\Wx-dJoKmZQk\00001.wav,id10736,True,mp3,32,0.5180345716836412,1541.8589999972028
voxceleb1\wav\id11045\6YdMVTk-eJ8\00001.wav,id11045,True,mp3,32,0.48366740758773463,1607.5735999984317
voxceleb1\wav\id11251\7GtZpUtReJ8\00005.wav,id11251,True,mp3,32,0.4848926279630721,1266.613600004348
voxceleb1\wav\id10994\5GLhL4Km-_0\00013.wav,id10994,True,mp3,32,0.3949328982037015,1123.3963999984553
voxceleb1\wav\id10900\6ciWZe60ahQ\00010.wav,id10900,True,mp3,32,0.35404680895754126,1202.5255000044126
voxceleb1\wav\id10736\Wx-dJoKmZQk\00004.wav,id10736,True,mp3,32,0.4340568628962239,1551.0673000026145
voxceleb1\wav\id10912\67p2Yi5aHUM\00001.wav,id10912,True,mp3,32,0.3881146296474336,1362.320300002466
voxceleb1\wav\id11059\9ow-Q4wUAgc\00003.wav,id11059,True,mp3,32,0.4565182250501012,1244.0750999958254
voxceleb1\wav\id10476\HvleHkiBb3s\00004.wav,id10476,True,mp3,32,0.4571455094448853,1291.5391999995336
voxceleb1\wav\id10912\2yUgv3B_YcI\00020.wav,id10912,True,mp3,32,0.3001934607837322,1121.4863999994122
voxceleb1\wav\id11045\AvQ8yF93phA\00001.wav,id11045,True,mp3,32,0.3988875607926301,1188.763199999812
voxceleb1\wav\id11142\2n8y1cwQoyo\00004.wav,id11142,True,mp3,32,0.4409550238918266,1498.0407000039122
voxceleb1\wav\id11175\ceU3Lw9-d9M\00004.wav,id11175,True,mp3,32,0.4065666744287234,1563.475399998424
voxceleb1\wav\id11048\P8-Fq-2Atiw\00006.wav,id11048,True,mp3,32,0.4299500487184169,1639.670100004878
