wav_path,claimed_id,genuine,snr_db,noise_file,distance,latency_ms
voxceleb1\wav\id10400\QS6RrYT7KKM\00003.wav,id10400,True,20,127872-0-0-0.wav,0.4325019368527848,279.5624000009411
voxceleb1\wav\id10912\2yUgv3B_YcI\00011.wav,id10912,True,20,95404-3-0-5.wav,0.3163607760316822,264.2799000004743
voxceleb1\wav\id10875\ZOsjLV0XXlQ\00005.wav,id10875,True,20,144007-5-1-9.wav,0.3573920501403268,264.6119000000908
voxceleb1\wav\id11142\Gicu1gUl6iw\00008.wav,id11142,True,20,93567-8-0-7.wav,0.43462824028582414,255.63870000041788
voxceleb1\wav\id10736\8hMkhwBzaJY\00011.wav,id10736,True,20,207213-2-0-109.wav,0.43798677086561844,267.166300000099
voxceleb1\wav\id10824\EPj8oj_wjI4\00005.wav,id10824,True,20,50629-4-1-1.wav,0.36915923010612794,289.74139999991166
voxceleb1\wav\id10786\BP8Lsp8p8iY\00010.wav,id10786,True,20,180937-7-2-10.wav,0.5543197005519035,279.6587000011641
voxceleb1\wav\id10994\5GLhL4Km-_0\00007.wav,id10994,True,20,131428-9-1-9.wav,0.33503944983141787,266.0006999994948
voxceleb1\wav\id10736\FiuNwOmESq8\00001.wav,id10736,True,20,174282-6-1-0.wav,0.4354862418002007,261.9033999999374
voxceleb1\wav\id10875\bDzNAlq_PXY\00002.wav,id10875,True,20,52077-3-0-13.wav,0.3447874690565077,269.4475999996939
voxceleb1\wav\id10862\2bn9i9re2yI\00017.wav,id10862,True,20,38236-3-3-0.wav,0.2713408686142773,295.24620000120194
voxceleb1\wav\id10862\2bn9i9re2yI\00028.wav,id10862,True,20,157868-8-0-18.wav,0.41554690402561956,326.3529000014387
voxceleb1\wav\id10456\L6TBYanT-fQ\00004.wav,id10456,True,20,104421-2-0-15.wav,0.44577249159719956,307.0041000009951
voxceleb1\wav\id10745\5EPvrY18MoQ\00007.wav,id10745,True,20,118279-8-0-4.wav,0.23849638943884255,299.5169000005262
voxceleb1\wav\id10994\5GLhL4Km-_0\00014.wav,id10994,True,20,103199-4-2-8.wav,0.39589060131493603,273.42660000067553
voxceleb1\wav\id10912\2yUgv3B_YcI\00018.wav,id10912,True,20,50629-4-4-8.wav,0.3102473011160105,262.3773000013898
voxceleb1\wav\id11059\NvZ7wAj3STs\00001.wav,id11059,True,20,100852-0-0-9.wav,0.3566791916178703,262.88109999950393
voxceleb1\wav\id10912\2yUgv3B_YcI\00013.wav,id10912,True,20,107653-9-0-3.wav,0.30859752136507523,271.0422000000108
voxceleb1\wav\id10508\OZxQo0H6O28\00007.wav,id10508,True,20,111386-5-1-8.wav,0.5569279047582179,261.82840000001306
voxceleb1\wav\id10400\QS6RrYT7KKM\00006.wav,id10400,True,20,69661-3-0-14.wav,0.3989215894968966,278.75630000016827
voxceleb1\wav\id11048\P8-Fq-2Atiw\00007.wav,id11048,True,20,74364-8-1-5.wav,0.4483826726268947,268.1492000010621
voxceleb1\wav\id11009\77WS8eN5h3s\00009.wav,id11009,True,20,135160-8-0-5.wav,0.2489379434067598,284.2606000012893
voxceleb1\wav\id10946\NdrTWoGwC7k\00002.wav,id10946,True,20,47019-2-0-69.wav,0.4787752519261712,316.3406000003306
voxceleb1\wav\id10508\8t97-YsuqpM\00012.wav,id10508,True,20,55020-4-0-10.wav,0.35622955772168075,279.0069000002404
voxceleb1\wav\id11059\89FrzqI2x0A\00005.wav,id11059,True,20,177726-0-0-7.wav,0.3250893610399347,267.0594000010169
voxceleb1\wav\id10736\Wx-dJoKmZQk\00001.wav,id10736,True,20,169098-7-4-3.wav,0.44274661502196566,277.94840000024124
voxceleb1\wav\id11045\6YdMVTk-eJ8\00001.wav,id11045,True,20,89442-9-0-14.wav,0.45688543589681574,271.97829999931855
