wav_path,claimed_id,true_speaker,genuine,accepted,distance,latency_ms
voxceleb1\wav\id10456\M2oGSkEpyEc\00001.wav,id11083,impostor,False,False,0.9376859532237691,221.36429999954998
voxceleb1\wav\id11112\FUiiruCPVTI\00001.wav,id11112,id11112,True,False,0.4090405063964425,235.5783999992127
voxceleb1\wav\id10592\K0YrTxZ9a4o\00001.wav,id10592,id10592,True,False,0.4127785082629174,209.16769999894314
voxceleb1\wav\id11048\O8yIcoe2doA\00003.wav,id11048,id11048,True,True,0.36052215930235554,214.45549999953073
voxceleb1\wav\id10592\8IIwLtU_XrQ\00004.wav,id10786,impostor,False,False,0.8951051907650165,213.52250000018103
voxceleb1\wav\id10645\PpufCRHg9os\00008.wav,id10645,id10645,True,True,0.3087872600205004,223.56670000044687
voxceleb1\wav\id10329\EXBuk_FwHu0\00009.wav,id10645,impostor,False,False,0.9402407338460415,243.30469999949855
voxceleb1\wav\id11083\WQrVyLYxYKE\00002.wav,id11083,id11083,True,False,0.4056448870514411,235.44489999949292
voxceleb1\wav\id10745\9NpQb6wgnNI\00004.wav,id10592,impostor,False,False,0.9251165957378931,235.04360000151792
voxceleb1\wav\id11083\WQrVyLYxYKE\00005.wav,id11083,id11083,True,True,0.36365371592627216,241.14490000101796
voxceleb1\wav\id11073\X2JQAUc-vnc\00003.wav,id11048,impostor,False,False,0.8250233042486924,210.43009999993956
voxceleb1\wav\id11251\Drcw9TLFNb0\00003.wav,id10802,impostor,False,False,1.0757141172137872,222.82549999908952
voxceleb1\wav\id10508\OZxQo0H6O28\00008.wav,id10645,impostor,False,False,0.980276007053549,224.86939999907918
voxceleb1\wav\id10900\6ciWZe60ahQ\00010.wav,id10900,id10900,True,True,0.33160246696230455,230.02100000121573
voxceleb1\wav\id10645\PpufCRHg9os\00004.wav,id10508,impostor,False,False,0.8993865622349797,234.7408000005089
voxceleb1\wav\id10797\BDhnUQwGYAo\00005.wav,id10797,id10797,True,False,0.44981249000206835,226.09649999867543
